pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
FTTFT,SVM,5,0.4984617575843897,0.5375094561474867,0.4984617575843897,0.4940042772435131,"[[15.6  6.6  4.6  2.8]
 [ 4.8 14.8  6.4  3.6]
 [ 4.2  6.6 16.   2.8]
 [ 5.8  7.8  3.4 12.6]]"
FTTTF,SVM,5,0.4477567298105683,0.54186196650158,0.4477567298105683,0.4441303683111249,"[[16.   8.   4.   1.6]
 [ 7.6 15.4  5.8  0.8]
 [ 6.  11.  11.   1.6]
 [ 6.6  7.4  5.  10.6]]"
FTTTT,SVM,5,0.4578407634240137,0.5124313755897276,0.4578407634240137,0.4535919240245888,"[[15.2  6.   5.2  3.2]
 [ 5.4 13.8  7.6  2.8]
 [ 3.2 11.2 11.8  3.4]
 [ 5.8  5.4  5.  13.4]]"
TFFFF,SVM,5,0.481587517988336,0.5184528320751303,0.481587517988336,0.4826439090951178,"[[20.4  9.2  7.6  3.4]
 [ 6.4 20.8 11.2  2.2]
 [ 7.2  9.6 20.   3.8]
 [ 7.2  9.   7.4 17. ]]"
TFFFT,SVM,5,0.4679921230023479,0.4874148896295224,0.4679921230023479,0.4668358946506121,"[[17.   6.2  9.4  8. ]
 [ 6.  19.8 10.2  4.6]
 [ 6.8  9.4 21.6  2.8]
 [ 8.8  7.2  7.  17.6]]"
TFFTF,SVM,5,0.4741422403999091,0.5094253699033768,0.4741422403999091,0.4701296774650577,"[[21.8  7.6  5.8  5.4]
 [ 7.6 19.8  9.8  3.4]
 [ 6.  12.  18.6  4. ]
 [10.   8.   5.8 16.8]]"
TFFTT,SVM,5,0.4753162160115126,0.4931480512494525,0.4753162160115126,0.4729655166324139,"[[19.   4.  11.   6.6]
 [ 6.8 16.6 12.4  4.8]
 [ 7.6  6.8 22.   4.2]
 [ 8.8  5.   7.2 19.6]]"
TFTFF,SVM,5,0.4902067711883663,0.5064096025946222,0.4902067711883663,0.488816613788008,"[[22.2  6.2  7.6  4.6]
 [ 5.4 20.  11.6  3.6]
 [ 6.4  8.6 21.4  4.2]
 [ 8.2  9.6  6.8 16. ]]"
TFTFT,SVM,5,0.4753010679391047,0.4889459759246514,0.4753010679391047,0.4760891130602097,"[[20.2  5.6  8.4  6.4]
 [ 6.4 20.   8.8  5.4]
 [ 6.4 10.2 17.   7. ]
 [ 8.4  5.2  7.  20. ]]"
TFTTF,SVM,5,0.4397106718170113,0.4807589560540174,0.4397106718170113,0.4329862892062707,"[[19.  10.8  5.4  5.4]
 [ 6.2 22.   9.   3.4]
 [ 6.6 16.  11.6  6.4]
 [ 6.4  9.   6.4 18.8]]"
TFTTT,SVM,5,0.4692115428311747,0.4965649703883515,0.4692115428311747,0.4687933636267834,"[[18.4  5.8 10.6  5.8]
 [ 6.2 16.6 14.2  3.6]
 [ 4.2  7.  23.4  6. ]
 [ 6.8  6.4  9.6 17.8]]"
