pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
TTTFT,CART,5,0.5642901234567901,0.5675369237250301,0.5642901234567901,0.5629556913657222,"[[24.8 15.6]
 [19.6 20.8]]"
TTTTF,CART,5,0.5024382716049383,0.5065156707643543,0.5024382716049383,0.5002055085988718,"[[23.  17.4]
 [22.8 17.6]]"
TTTTT,CART,5,0.5073456790123456,0.5140409228712028,0.5073456790123456,0.5060984691088353,"[[22.  18.4]
 [21.4 19. ]]"
FFFFF,SVM,5,0.6217514124293786,0.65367276696052,0.6217514124293786,0.6099202926040647,"[[13.2 16.4]
 [ 6.  23.6]]"
FFFFT,SVM,5,0.6588135593220339,0.6766251203450133,0.6588135593220339,0.6536543224702646,"[[16.  13.6]
 [ 6.6 23. ]]"
FFFTF,SVM,5,0.6284180790960453,0.6918989737293133,0.6284180790960453,0.6049897314022216,"[[11.4 18.2]
 [ 3.8 25.8]]"
FFFTT,SVM,5,0.6419774011299435,0.6903985135914057,0.6419774011299435,0.6287083716428354,"[[14.2 15.4]
 [ 5.8 23.8]]"
FFTFF,SVM,5,0.6488700564971751,0.6978817123096784,0.6488700564971751,0.6337328217793716,"[[13.8 15.8]
 [ 5.  24.6]]"
FFTFT,SVM,5,0.6692655367231638,0.7109748512563185,0.6692655367231638,0.6588848857332931,"[[14.8 14.8]
 [ 4.8 24.8]]"
FFTTF,SVM,5,0.6114689265536724,0.6668558840406502,0.6114689265536724,0.5797438980102789,"[[10.  19.6]
 [ 3.4 26.2]]"
FFTTT,SVM,5,0.6181920903954803,0.6580449054925626,0.6181920903954803,0.6020018878072892,"[[12.4 17.2]
 [ 5.4 24.2]]"
FTFFF,SVM,5,0.6215254237288136,0.6942655708410432,0.6215254237288136,0.5939248449367028,"[[10.8 18.8]
 [ 3.6 26. ]]"
FTFFT,SVM,5,0.6318079096045198,0.6663284824560056,0.6318079096045198,0.6187294524429559,"[[13.2 16.4]
 [ 5.4 24.2]]"
FTFTF,SVM,5,0.6248022598870057,0.7004769573924221,0.6248022598870057,0.5922284141914352,"[[10.2 19.4]
 [ 2.8 26.8]]"
