pretraitement,classification,classifieur,kfold,size,testsize,seed,accuracy,matrice,recall,precision,fmesure
FFTFF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5574452003023431,"[[14.         35.33333333]
 [ 8.33333333 41.        ]]",0.5574452003023431,0.6284403579068946,0.515527950701706
FFTFT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6384594241737099,"[[24.66666667 24.66666667]
 [11.         38.33333333]]",0.6384594241737099,0.6582133260355234,0.6285306299487344
FFTTF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6248196248196248,"[[19.33333333 30.        ]
 [ 7.         42.33333333]]",0.6248196248196248,0.7268722521488274,0.5813442605632263
FFTTT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6113516113516113,"[[17.66666667 31.66666667]
 [ 6.66666667 42.66666667]]",0.6113516113516113,0.6706045105709958,0.57725112941108
FTFFF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6012849584278156,"[[19.         30.33333333]
 [ 9.         40.33333333]]",0.6012849584278156,0.6633808080624914,0.5714581998451905
FTFFT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6013536727822442,"[[18.33333333 31.        ]
 [ 8.33333333 41.        ]]",0.6013536727822442,0.6656196213788619,0.5741505302942043
FTFTF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5911839483268055,"[[20.66666667 28.66666667]
 [11.66666667 37.66666667]]",0.5911839483268055,0.6946466223842468,0.5490935428796394
FTFTT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6450903593760736,"[[19.         30.33333333]
 [ 4.66666667 44.66666667]]",0.6450903593760736,0.7168273895602382,0.6142150736788592
FTTFF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5844499415927987,"[[20.         29.33333333]
 [11.66666667 37.66666667]]",0.5844499415927987,0.6058433374432819,0.569742922885088
FTTFT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.614752971895829,"[[19.33333333 30.        ]
 [ 8.         41.33333333]]",0.614752971895829,0.6732448292825138,0.5868067970995762
FTTTF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6011818868961726,"[[16.         33.33333333]
 [ 6.         43.33333333]]",0.6011818868961726,0.6822913923392221,0.5567845227478292
FTTTT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5843125128839415,"[[18.         31.33333333]
 [ 9.66666667 39.66666667]]",0.5843125128839415,0.6277858779696094,0.5564833546073581
TFFFF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6262576008844666,"[[29.         38.33333333]
 [12.         55.33333333]]",0.6262576008844666,0.6531858157887965,0.6104939194487606
TFFFT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6584853510226644,"[[38.         29.33333333]
 [16.66666667 50.66666667]]",0.6584853510226644,0.6697643109915083,0.654606817155981
TFFTF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6460291136908052,"[[29.33333333 38.        ]
 [ 9.66666667 57.66666667]]",0.6460291136908052,0.6831817584762804,0.6291804153534897
TFFTT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.670794177261839,"[[34.33333333 33.        ]
 [11.33333333 56.        ]]",0.670794177261839,0.6946449815984496,0.6618952866288611
TFTFF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.631140593329648,"[[31.66666667 35.66666667]
 [14.         53.33333333]]",0.631140593329648,0.6554690490088165,0.6188681802357179
TFTFT,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6461212456237332,"[[36.66666667 30.66666667]
 [17.         50.33333333]]",0.6461212456237332,0.6584950518842586,0.6415948042569282
TFTTF,Vrai_Faux_Other_Mixture,SVM,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6286346047540078,"[[25.         42.33333333]
 [ 7.66666667 59.66666667]]",0.6286346047540078,0.6810675827521745,0.6013149328485432
